"titulo","link","desc","data","categoria_principal"
"35% dos brasileiros não pagam as contas em dia – veja 10 orientações para adequar o orçamento","http://www.dsop.com.br/ultimas-noticias/2018/09/pesquisa-orcamento/","De acordo com pesquisa divulgada nesta quinta-feira (6) pela Confederação Nacional dos Dirigentes Lojistas (CNDL) e pelo Serviço de Proteção ao Crédito (SPC), 35% dos brasileiros afirmam que a renda  é insuficiente para pagar as contas em dia. Além disso, 46% disseram que não falta, mas também não sobra dinheiro com a renda que possuem… Leia mais",2018-09-06 12:49:49,"brasileiro, conta, dia, renda, adequar, orcamento, orientaco, pagam, veja, acordo, afirmam, cndl, confederacao, credito, dinheiro, dirigent, disseram, disso, divulgada, falta, insuficient, lojista, nacion, nesta, pagar, pesquisa, possuem, protecao, quintafeira, servico, sobra, spc, tambem, noticia, voce"
"Dólar nas alturas: viagem de fim de ano em risco?","http://www.dsop.com.br/para-voce/noticias/2018/08/dolar-viagem/",NA,2018-08-29 13:51:37,"altura, ano, dolar, fim, risco, viagem, noticia, voce"
"Dia dos Pais: confira 10 orientações para fugir do endividamento","http://www.dsop.com.br/para-voce/noticias/2018/08/dia-dos-pais-dividas/","No domingo (12) se comemora o Dia dos Pais e, para demonstrar o amor, carinho e gratidão, muitas pessoas acabam presenteando a qualquer custo, mesmo sem ter dinheiro, correndo o risco de desequilibrar suas finanças por conta dessa data comemorativa. Segundo o PhD. em Educação Financeira Reinaldo Domingos, é necessário tomar muito cuidado na hora… Leia mais",2018-08-07 14:17:28,"dia, pai, domingo, confira, endividamento, fugir, orientaco, acabam, amor, carinho, comemora, comemorativa, conta, correndo, cuidado, custo, data, demonstrar, desequilibrar, dessa, dinheiro, educacao, financa, financeira, gratidao, hora, muita, necessario, pessoa, phd, presenteando, qualquer, reinaldo, risco, segundo, ter, tomar, noticia, voce"
"Educador Financeiro da DSOP realiza sua 500ª palestra","http://www.dsop.com.br/para-voce/noticias/2018/08/educador-financeiro-palestra-500/","Em continuidade às comemorações de 10 anos, a DSOP Educação Financeira celebra no sábado, 4 de agosto, mais uma marca importante na sua história: a palestra de número 500 do primeiro educador financeiro formado pela DSOP, Edward Cláudio Jr. Edward Claudio Jr. com Reinaldo Domingos durante comemoração dos 10 anos da DSOP A palestra será gratuita e acontecerá… Leia mais",2018-08-03 14:21:11,"dsop, palestra, educador, financeiro, ano, claudio, edward"
"Crédito consignado: veja como não ter problemas com esta modalidade","http://www.dsop.com.br/para-voce/noticias/2018/08/credito-consignado-armadilhas/","Segundo últimos dados divulgados pelo Banco Central, o volume de empréstimos consignados subiu R$ 4 bilhões nos primeiros cinco meses deste ano, para R$ 30,2 bilhões. Em comparação ao mesmo período do ano passado, houve um aumento de 16%. O chamado crédito consignado, para aposentados e pensionistas do INSS, é uma modalidade muito comum, sendo… Leia mais",2018-08-02 09:55:27,"consignado, credito, modalidad, ano, bilho"
"Brasileiros usam 10% da renda com juros – veja como fugir dessa armadilha","http://www.dsop.com.br/ultimas-noticias/2018/07/renda-juros/","De acordo com uma recente pesquisa divulgada pela Federação do Comércio de Bens, Serviços e Turismo do Estado de São Paulo (Fecomercio), em 2017 as famílias brasileiras gastaram R$ 354,6 bilhões com o pagamento de juros. Esse número corresponde a 10% da renda anual, superando os gastos com vestuário, educação e energia elétrica, por exemplo.… Leia mais",2018-07-26 11:37:29,"juro, renda, armadilha, brasileiro, dessa, fugir, usam, veja, acordo, anual, ben, bilho, brasileira, comercio, correspond, divulgada, educacao, eletrica, energia, estado, exemploâ€, familia, fecomercio, federacao, gastaram, gasto, leia, numero, pagamento, paulo, pesquisa, recent, sao, servico, superando, turismo, vestuario, noticia, voce"
"Gastou demais na viagem de férias? Veja como colocar as contas em dia","http://www.dsop.com.br/para-voce/noticias/2018/07/viagem-de-ferias/","As férias já estão acabando e muitas pessoas se deixaram levar pela euforia gastando mais do que podiam naquela tão sonhada viagem. Um descuido com o cartão de crédito, principalmente nas viagens internacionais, pode causar um grande desequilíbrio financeiro e dor de cabeça na volta para casa. Quem não fez um planejamento financeiro agora se pergunta:… Leia mais",2018-07-24 13:38:05,"feria, viagem, financeiro, colocar, conta, demai, dia, gastou, veja, acabando, agora, cabeca, cartao, casa, causar, credito, deixaram, descuido, desequilibrio, dor, estao, euforia, fez, gastando, grand, internacionai, leia, levar, muita, naquela, perguntaâ€, pessoa, planejamento, pode, podiam, principalment, sonhada, tao, viagen, volta, noticia, voce"
"Livre-se das dívidas: veja orientações para sair do vermelho","http://www.dsop.com.br/para-voce/noticias/2018/07/dividas-orientacoes/","Dívidas são das maiores preocupações dos brasileiros atualmente. O número de inadimplentes já passa dos 60 milhões em todo o país e contratar um empréstimo, mesmo estando negativado, muitas vezes é a opção encontrada para sair dessa situação. Segundo os últimos dados divulgados pelo Serviço de Proteção ao Crédito (SPC Brasil), 43,5% dos brasileiros que pegaram dinheiro emprestado mesmo… Leia mais",2018-07-11 14:28:54,"divida, sair, brasileiro, livr, orientaco, veja, vermelho, atualment, brasil, contratar, credito, dado, dessa, dinheiro, divulgado, emprestado, emprestimo, encontrada, estando, inadimplent, leia, maior, milho, muita, negativado, numero, opcao, pai, passa, pegaram, preocupaco, protecao, sao, segundo, servico, situacao, spc, todo, ultimo, veze, noticia, voce"
"DSOP celebra os 10 anos do Curso de Educador Financeiro","http://www.dsop.com.br/para-voce/noticias/2018/07/dsop-10-anos-educador-financeiro/",NA,2018-07-05 17:41:02,"ano, celebra, curso, dsop, educador, financeiro, noticia, voce"
"DSOP 10 anos: uma década transformando vidas e realizando sonhos!","http://www.dsop.com.br/para-voce/noticias/2018/07/dsop-10-anos/","Este mês é histórico: a DSOP Educação Financeira completou, no dia 1º de julho, 10 anos de história! São 10 anos proporcionando à população brasileira a possibilidade de realizar todos os seus sonhos, de maneira sustentável financeiramente. “Sempre tive esse desejo de ajudar as pessoas a lidarem melhor com o dinheiro, já que os problemas… Leia mais",2018-07-02 14:55:13,"ano, dsop, sonho, decada, realizando, transformando, vida, ajudar, brasileira, completou, desejo, dia, dinheiro, educacao, financeira, financeirament, historia, historico, julho, lidarem, maneira, melhor, mes, pessoa, populacao, possibilidad, problema, proporcionando, realizar, sao, sustentavel, todo, â€œsempr, noticia, voce"
