"dataset","id","dono","dono_email","autor","data_hora_criacao","data_hora_atualizacao","documentacao","codigo_sgs","status","data_inicial","data_final","unidade_medida","qtd_links","periodicidade","tipo_serie","url","notas","categoria_principal"
"Dívida mobiliária federal - Títulos do Tesouro Nacional - Emitidos em oferta pública - Prazo e duração médios - NTN-B","10608-divida-mobiliaria-federal---titulos-do-tesouro-nacional---emitidos-em-oferta-publica---prazo-","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:27.891665","2017-12-28T12:11:22.162165","N/A",10608,"active","31-03-2002","","Meses",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10608","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, nacion, custodia, tesouro"
"Dívida mobiliária federal - Títulos do Tesouro Nacional - Emitidos em oferta pública - Prazo e duração médios - NTN-C","10609-divida-mobiliaria-federal---titulos-do-tesouro-nacional---emitidos-em-oferta-publica---prazo-","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:27.787224","2017-12-28T12:11:22.119017","N/A",10609,"active","31-12-1999","","Meses",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10609","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, nacion, custodia, tesouro"
"Dívida mobiliária federal - Títulos do Tesouro Nacional - Emitidos em oferta pública - Prazo e duração médios - LTN","10613-divida-mobiliaria-federal---titulos-do-tesouro-nacional---emitidos-em-oferta-publica---prazo-","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:27.835713","2017-12-28T12:11:21.944989","N/A",10613,"active","31-07-1996","","Meses",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10613","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, nacion, custodia, tesouro"
"Dívida mobiliária federal - Títulos do Tesouro Nacional - Emitidos em oferta pública - Prazo médio - LFT","10614-divida-mobiliaria-federal---titulos-do-tesouro-nacional---emitidos-em-oferta-publica---prazo-","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:27.802751","2017-12-28T12:11:21.955509","N/A",10614,"active","30-06-1998","","Meses",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10614","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, nacion, custodia, tesouro"
"Dívida mobiliária federal - Títulos do Tesouro Nacional - Emitidos - Prazo médio - Total","10618-divida-mobiliaria-federal---titulos-do-tesouro-nacional---emitidos---prazo-medio---total","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:27.875334","2017-12-28T12:11:22.158982","N/A",10618,"active","30-09-2000","","Meses",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10618","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, nacion, custodia, tesouro"
"Dívida mobiliária federal (saldos) - Posição em carteira - Título indexado a Selic - LFT","10634-divida-mobiliaria-federal-saldos---posicao-em-carteira---titulo-indexado-a-selic---lft","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:28.670933","2017-12-28T12:11:22.199400","N/A",10634,"active","31-01-2000","","Milhões de unidades monetárias correntes",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10634","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, carteira, custodia, nacion, posicao"
"Dívida mobiliária federal (saldos) - Posição em carteira - Título indexado ao IPC-A - NTN-B","10642-divida-mobiliaria-federal-saldos---posicao-em-carteira---titulo-indexado-ao-ipc-a---ntn-b","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:29.358052","2017-12-28T12:11:21.917902","N/A",10642,"active","31-01-2000","","Milhões de unidades monetárias correntes",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10642","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, carteira, custodia, nacion, posicao"
"Dívida mobiliária federal (saldos) - Posição em carteira - Título indexado ao IGP-M - NTN-C","10647-divida-mobiliaria-federal-saldos---posicao-em-carteira---titulo-indexado-ao-igp-m---ntn-c","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:29.757529","2017-12-28T12:11:22.178095","N/A",10647,"active","31-01-2000","","Milhões de unidades monetárias correntes",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10647","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, carteira, custodia, nacion, posicao"
"Dívida mobiliária federal (saldos) - Posição em carteira - Título pré-fixado - LTN","10649-divida-mobiliaria-federal-saldos---posicao-em-carteira---titulo-pre-fixado---ltn","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:30.239088","2017-12-28T12:11:21.960979","N/A",10649,"active","31-01-2000","","Milhões de unidades monetárias correntes",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10649","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, carteira, custodia, nacion, posicao"
"Dívida mobiliária federal (saldos) - Posição em carteira - Título indexado a TR - NTN-P","10658-divida-mobiliaria-federal-saldos---posicao-em-carteira---titulo-indexado-a-tr---ntn-p","Banco Central do Brasil/Departamento de Estatísticas","N/A","Banco Central do Brasil/Departamento de Estatísticas","2017-12-05T12:30:30.093660","2017-12-28T12:11:22.006374","N/A",10658,"active","31-01-2000","","Milhões de unidades monetárias correntes",4,"mensal","Série temporal mensal","https://www3.bcb.gov.br/sgspub/consultarvalores/consultarValoresSeries.do?method=consultarGraficoPorId&hdOidSeriesSelecionadas=10658","Conceito:, A dívida mobiliária federal é constituída dos títulos emitidos pelo  Tesouro Nacional e pelo Banco Central do Brasil e contempla os valores que  estão em poder do mercado ou em carteira no Banco Central.   prefix = o />, Dívida  mobiliária do Tesouro Naciona, l, Dívida  pública interna do Tesouro Nacional, constituída pelos títulos públicos de  sua emissão registrados no Sistema Especial de Liquidação e Custódia  (Selic) ou na Câmara de Custódia e Liquidação (Cetip), colocados e  resgatados em moeda nacional., Dívidas, s, ecuritizadas, Inclui dívidas vencidas e renegociadas (DVR), que  correspondem aos débitos de empresas estatais (exceto Petrobras),  assumidos e renegociados pelo governo federal mediante securitização, com  emissão de títulos, registrados na  Cetip; e os títulos da dívida agrária (TDA) em mercado, emitidos pelo  Tesouro Nacional nos processos de desapropriação de terras para reforma  agrária., Dívida mobiliária do Banco  Central, Dívida pública interna do Banco Central do Brasil  constituída pelos títulos públicos de sua emissão registrados no Sistema  Especial de Liquidação e Custódia (Selic), colocados e resgatados, em moeda nacional. Em 2006, foram resgatados  os últimos títulos de emissão do Banco Central, tendo deixado de existir,  desde então, dívida mobiliária emitida pela Autoridade Monetária, em  função da proibição estabelecida pela Lei, Complementar 101, de  4.5.2000., Para a dívida pública mobiliária são divulgadas as séries  históricas em unidade monetária corrente e em reais, cujos valores são  expressos considerando a posição de carteira ou posição de custódia.  apresentando, para cada posição, o total emitido, os valores em mercado,  na carteira do Banco Central e em tesouraria. Os dados são apresentados de  forma totalizada e por título., A dívida mobiliária federal é apresentada, ainda, com base na  distribuição por indexador dos respectivos títulos, para cada posição  (carteira e custódia)., São apresentadas séries históricas relativas ao impacto monetário  das operações com títulos, compreendendo as colocações, resgates e  saldos, Fonte: Banco Central do Brasil – Departamento de Operações do Mercado Aberto","divida, titulo, mobiliaria, carteira, custodia, nacion, posicao"
