"","titulo","link","desc","data","categoria_principal"
"1","Ibovespa volta a subir e dÛlar registra queda","www.valor.com.br/financas/5861443/ibovespa-volta-subir-e-dolar-registra-queda","Embora Haddad cresÁa nas pesquisas, Bolsonaro permanece forte para enfrentar o segundo turno; ambiente no exterior favorece commodities","19/09/2018 ‡s 14h07","dolar, ibovespa, queda, registra, subir, volta, ambient, bolsonaro, commod, cresca, embora, enfrentar, exterior, favorec, fort, haddad, permanec, pesquisa, segundo, turno, mercado"
"2","Bolsas da Europa fecham em alta moderada, com commodities","www.valor.com.br/financas/5861381/bolsas-da-europa-fecham-em-alta-moderada-com-commodities","O setor de matÈrias-primas liderou os ganhos nesta quarta-feira entre os componentes do Ìndice pan-europeu Stoxx 600","19/09/2018 ‡s 13h48","alta, bolsa, commod, europa, fecham, moderada, component, ganho, indic, liderou, materiasprima, nesta, paneuropeu, quartafeira, setor, stoxx, mercado"
"3","An·lise: Como os BCs de emergentes asi·ticos reagem ‡ guerra comercial","www.valor.com.br/financas/5861285/analise-como-os-bcs-de-emergentes-asiaticos-reagem-guerra-comercial",NA,"19/09/2018 ‡s 13h24","analis, asiatico, bcs, comerci, emergent, guerra, reagem, monetaria, politica"
"4","BC tem perda de R$ 981 milhıes com swap em setembro atÈ o dia 14","www.valor.com.br/financas/5861265/bc-tem-perda-de-r-981-milhoes-com-swap-em-setembro-ate-o-dia-14","⁄ltima vez em que a autoridade monet·ria ofereceu novos contratos do derivativo foi em 30 de agosto","19/09/2018 ‡s 13h17","ate, dia, milho, perda, setembro, swap, agosto, autoridad, contrato, derivativo, monetaria, novo, ofereceu, ultima, vez, mercado"
"5","Fluxo cambial fica negativo em US$ 619 milhıes na semana","www.valor.com.br/financas/5861241/fluxo-cambial-fica-negativo-em-us-619-milhoes-na-semana","No acumulado de setembro, por ora, fluxo cambial ficou negativo em US$ 1,477 bilh„o","19/09/2018 ‡s 13h11","cambial, fluxo, negativo"
"6","Conselho do FGTS aprova regulamentaÁ„o de crÈdito para Santas Casas","www.valor.com.br/brasil/5861211/conselho-do-fgts-aprova-regulamentacao-de-credito-para-santas-casas","ResoluÁ„o n∫ 901 foi publicada nesta quarta-feira no ""Di·rio Oficial da Uni„o"" (DOU)","19/09/2018 ‡s 13h05","aprova, casa, conselho, credito, fgts, regulamentacao, santa, diario, dou, nesta, ofici, publicada, quartafeira, resolucao, uniao, macroeconomia"
"7","Ibovespa sobe e se firma em 78 mil pontos, de olho em eleiÁ„o e ajuste","www.valor.com.br/financas/5861173/ibovespa-sobe-e-se-firma-em-78-mil-pontos-de-olho-em-eleicao-e-ajuste","No mercado de c‚mbio, dÛlar recua para R$ 4,11","19/09/2018 ‡s 12h57","mercado"
"8","Comunicado do Copom pode trazer projeÁıes de inflaÁ„o mais altas","www.valor.com.br/financas/5861149/comunicado-do-copom-pode-trazer-projecoes-de-inflacao-mais-altas","Juro, contudo, deve ser mantido em 6,5% ao ano","19/09/2018 ‡s 12h48","alta, comunicado, copom, inflacao, pode, projeco, trazer, ano, contudo, deve, juro, mantido, ser, mercado"
"9","Suposto vazamento de pesquisa Ibope enfraquece reaÁ„o do mercado","www.valor.com.br/financas/5861021/suposto-vazamento-de-pesquisa-ibope-enfraquece-reacao-do-mercado","N˙meros da pesquisa teriam circulado nas mesas de operaÁ„o, conforme fontes","19/09/2018 ‡s 12h11","mercado, pesquisa"
"10","FT: Padrıes globais contra lavagem de dinheiro com criptomoedas est„o","www.valor.com.br/financas/5860891/ft-padroes-globais-contra-lavagem-de-dinheiro-com-criptomoedas-estao",NA,"19/09/2018 ‡s 11h43","contra, criptomoeda, dinheiro, estao, globai, lavagem, padro, investimento"
"11","Fundo pode investir indiretamente em criptoativo no exterior, diz CVM","www.valor.com.br/financas/5860875/fundo-pode-investir-indiretamente-em-criptoativo-no-exterior-diz-cvm","Em ofÌcio publicado nesta quarta-feira, regulador alerta, contudo, para cuidados com operaÁıes ilegais como lavagem de dinheiro e fraudes","19/09/2018 ‡s 11h41","fundo"
"12","Draghi: Zona do euro precisa de resposta em comum para crises futuras","www.valor.com.br/financas/5860869/draghi-zona-do-euro-precisa-de-resposta-em-comum-para-crises-futuras","ìPrecisamos de um instrumento fiscal adicional para prover estabilizaÁ„o"", afirmou o presidente do BCE","19/09/2018 ‡s 11h39","comum, crise, draghi, euro, futura, precisa, resposta, zona, adicion, afirmou, bce, estabilizacao, fiscal, instrumento, president, prover, ‚Äúprecisamo, monetaria, politica"
"13","Ibovespa opera em queda com investidor atento ‡ cena eleitoral","www.valor.com.br/financas/5860849/ibovespa-opera-em-queda-com-investidor-atento-cena-eleitoral","AÁıes da Eletrobras tinham baixa expressiva. Investidores consideram ˙ltima pesquisa eleitoral, divulgada pelo Ibope","19/09/2018 ‡s 11h36","eleitor, investidor"
"14","DÛlar e juros invertem movimento da abertura e operam em baixa","www.valor.com.br/financas/5860401/dolar-e-juros-invertem-movimento-da-abertura-e-operam-em-baixa","AlÈm de cena eleitoral, investidores ficam atentos nesta jornada na decis„o do Copom","19/09/2018 ‡s 10h06","abertura, baixa, dolar, invertem, juro, movimento, operam, atento, cena, copom, decisao, eleitor, ficam, investidor, jornada, nesta, mercado"
"15","Bolsas da ¡sia avanÁam em meio ‡ expectativa de medidas na China","www.valor.com.br/financas/5859821/bolsas-da-asia-avancam-em-meio-expectativa-de-medidas-na-china","Investidores continuam atentos ao cen·rio geopolÌtico","19/09/2018 ‡s 08h19","asia, avancam, bolsa, china, expectativa, medida, meio, atento, cenario, continuam, geopolitico, investidor, mercado"
"16","DÛlar fecha em alta de 0,38% em dia de ajustes","www.valor.com.br/financas/5858211/dolar-fecha-em-alta-de-038-em-dia-de-ajustes","Volatilidade de cinco dias terminou sess„o em 13,25%, menor nÌvel desde 23 de agosto (12,02%), voltando a operar abaixo da mÈdia do ano","18/09/2018 ‡s 18h00","dia"
